Name,AccountNumber,Site,Type,Industry,AnnualRevenue,Rating,Phone,Fax,Website,TickerSymbol,Ownership,NumberOfEmployees
Beta Inc,ACC002,HQ,Partner,Healthcare,2000000.0,Warm,+1-2345678901,+1-2345678902,www.beta.com,BTA,Private,200.0
TestAccount6,10000006,Site_G,Customer,Technology,3500000.0,Warm,+1-800-555-1006,+1-800-555-2006,https://testaccount6.com,SYM6,Private,80.0
TestAccount0,10000000,Site_A,Customer,Technology,500000.0,Warm,+1-800-555-1000,+1-800-555-2000,https://testaccount0.com,SYM0,Private,50.0
TestAccount3,10000003,Site_D,Customer,Technology,2000000.0,Hot,+1-800-555-1003,+1-800-555-2003,https://testaccount3.com,SYM3,Public,65.0
TestAccount7,10000007,Site_H,Customer,Technology,4000000.0,Hot,+1-800-555-1007,+1-800-555-2007,https://testaccount7.com,SYM7,Public,85.0
Sample Account for Entitlements,,,,,,,,,,,,
TestAccount5,10000005,Site_F,Customer,Technology,3000000.0,Hot,+1-800-555-1005,+1-800-555-2005,https://testaccount5.com,SYM5,Public,75.0
Gamma Ltd,ACC003,Branch,Customer,Finance,1500000.0,Cold,+1-3456789012,+1-3456789013,www.gamma.com,GAM,Public,150.0
Beta Inc,ACC002,HQ,Partner,Healthcare,2000000.0,Warm,+1-2345678901,+1-2345678902,www.beta.com,BTA,Private,200.0
Edge Communications,CD451796,,Customer - Direct,Electronics,139000000.0,Hot,(512) 757-6000,(512) 757-9000,http://edgecomm.com,EDGE,Public,1000.0
Burlington Textiles Corp of America,CD656092,,Customer - Direct,Apparel,350000000.0,Warm,(336) 222-7000,(336) 222-8000,www.burlington.com,BTXT,Public,9000.0
Pyramid Construction Inc.,CC213425,,Customer - Channel,Construction,950000000.0,,(014) 427-4427,(014) 427-4428,www.pyramid.com,PYR,Public,2680.0
Dickenson plc,CC634267,,Customer - Channel,Consulting,50000000.0,,(785) 241-6200,(785) 241-6201,dickenson-consulting.com,,Private,120.0
Grand Hotels & Resorts Ltd,CD439877,,Customer - Direct,Hospitality,500000000.0,Warm,(312) 596-1000,(312) 596-1500,www.grandhotels.com,GHTL,Public,5600.0
United Oil & Gas Corp.,CD355118,,Customer - Direct,Energy,5600000000.0,Hot,(212) 842-5500,(212) 842-5501,http://www.uos.com,UOS,Public,145000.0
Express Logistics and Transport,CC947211,,Customer - Channel,Transportation,950000000.0,Cold,(503) 421-7800,(503) 421-7801,www.expressl&t.net,EXLT,Public,12300.0
University of Arizona,CD736025,,Customer - Direct,Education,,Warm,(520) 773-9050,(520) 773-9060,www.universityofarizona.com,,Other,39000.0
"United Oil & Gas, UK",CD355119-A,,Customer - Direct,Energy,,,+44 191 4956203,+44 191 4956620,http://www.uos.com,UOS,Public,24000.0
"United Oil & Gas, Singapore",CD355120-B,,Customer - Direct,Energy,,,(650) 450-8810,(650) 450-8820,http://www.uos.com,UOS,Public,3000.0
GenePoint,CC978213,,Customer - Channel,Biotechnology,30000000.0,Cold,(650) 867-3450,(650) 867-9895,www.genepoint.com,,Private,265.0
sForce,,,,,,,(415) 901-7000,(415) 901-7002,www.sforce.com,,,
Gamma Ltd,ACC003,Branch,Customer,Finance,1500000.0,Cold,+1-3456789012,+1-3456789013,www.gamma.com,GAM,Public,150.0
TestAccount9,10000009,Site_J,Customer,Technology,5000000.0,Hot,+1-800-555-1009,+1-800-555-2009,https://testaccount9.com,SYM9,Public,95.0
TestAccount8,10000008,Site_I,Customer,Technology,4500000.0,Warm,+1-800-555-1008,+1-800-555-2008,https://testaccount8.com,SYM8,Private,90.0
Acme Corp,ACC001,Main,Customer,Technology,1000000.0,Hot,+1-1234567890,+1-1234567891,www.acme.com,ACM,Public,100.0
TestAccount4,10000004,Site_E,Customer,Technology,2500000.0,Warm,+1-800-555-1004,+1-800-555-2004,https://testaccount4.com,SYM4,Private,70.0
TestAccount2,10000002,Site_C,Customer,Technology,1500000.0,Warm,+1-800-555-1002,+1-800-555-2002,https://testaccount2.com,SYM2,Private,60.0
Acme Corp,ACC001,Main,Customer,Technology,1000000.0,Hot,+1-1234567890,+1-1234567891,www.acme.com,ACM,Public,100.0
TestAccount1,10000001,Site_B,Customer,Technology,1000000.0,Hot,+1-800-555-1001,+1-800-555-2001,https://testaccount1.com,SYM1,Public,55.0
